0UGE;1INS - Type - Code;2INSEE ID commune;3INS - Nom;4BSS;5source/forage;6Commune d'implantation de l'ouvrage;7INSEE Captage;8EtatArrêtéDUP;9PRO - D.U.P. - Date;10UDI - Population - Permanente;11UDI_CODE_NAT;12communes alimentées (environ UDI_NOM);13volume produit;14volume importé;15volume exporté;16linéaire de réseau hors branchement;17linéaire de réseaux renouvelés au cours des 5 dernières années;18taux de TVA applicable à l'ensemble de la facture;19Voies navigables de France (prélèvement);20Agence de l'Eau (protection de la ressource);21Agence de l'Eau ( redevance pollution);22Autres taxes et redevances applicables sur le tarif (hors TVA);23volume de service;24volume consommé sans comptage;25Volumes consommés comptabilisés;26Rendement;27ILP;28ILC;29 Prix de l'eau (? HT et HR/m3) base 120 m3 ; 30Prix de l'eau (? TTC/m3) base 120 m3 ;31Mode d'exploitation;32chloration;33autres traitements;34Nb total de PLV sur l'UDL représentatifs et complets;35Evènements (restrictions);36Evènements (dérogations);37Evènements (autres); 38de C Bactériologie;39Max pH;40Min pH;41Moy pH;42Max Titre alcalimétrique complet;43Min Titre alcalimétrique complet;44Moy Titre alcalimétrique complet;45Max Titre hydrométrique;46Min Titre hydrométrique;47Moy Titre hydrométrique;48Max Turbidité;49Min Turbidité;50Moy Turbidité;51Max Nitrates;52Min Nitrates;53Moy Nitrates;54Moy Pesticides totaux;55Etat;56Décompte DUP;57décompte cap;58Population DUP
RUPT EN WOEVRE;83;55449;FOND DE RAIVAU N°2;01622X0104;85;;55000;89;26/09/2011;0;;RUPT EN WOEVRE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
RUPT EN WOEVRE;83;55449;FOND DE RAIVAU N°1;01622X0105;85;;55000;89;26/09/2011;0;;RUPT EN WOEVRE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;308
RUPT EN WOEVRE;84;55449;RUPT EN WOEVRE;;0;;55000;87;;305;55000813;;;;;;;;;;;;;;;;;;;;99;100;;7;0;0;;100;7.8;0;7.67;19.7;19.2;19.5;20.9;20.4;20.6;0.2;0.1;0.13;2.9;2.2;2.633;0;0;;;
RUPT SUR OTHAIN;83;55450;DEMI-CHAMP;01122X0027;86;;55000;89;30/10/1998;0;;RUPT SUR OTHAIN;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;56
RUPT SUR OTHAIN;84;55450;RUPT SUR OTHAIN;;0;;55000;87;;56;55000822;;0;0;0;3.28;0;0;0;0;0.395;0;8630;0;8630;0;-14.42;14.42;0;0.4;99;0;;7;1;0;;71.42857143;7.3;0;7.3;30.9;30.7;30.8;35.7;33;34.35;0.2;0;0.1;14.3;10.8;12.55;0.01;0;;;
SAINT ANDRE EN BARROIS;84;55453;SAINT ANDRE EN BARROIS;;0;;55000;87;;58;55001258;;;;;;;;;;;;;;;;;;;;99;100;;22;0;0;;100;7.9;0;7.73;25.7;24.8;25.3;29;28.2;28.66;0.1;0;0.03;30;26.8;28.56;0.016;0;1;;
SAINT DIZIER (52);83;52448;FORAGE DES ISLOTTES N°1;02268X1026;86;ANCERVILLE;55010;87;;0;;ANCERVILLE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;91;0;1;0
SAINT DIZIER (52);83;52448;FORAGE DES ISLOTTES N°2;02268X1027;86;ANCERVILLE;55010;87;;0;;ANCERVILLE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;91;0;1;0
SAINT DIZIER (52);83;52448;FORAGE DES ISLOTTES N°3;02268X1028;86;ANCERVILLE;55010;87;;0;;ANCERVILLE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;91;0;1;0
SAINT DIZIER (52);83;52448;STATION DE MARNAVAL-GUE;02268X1037;85;ANCERVILLE;55010;87;;0;;ANCERVILLE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;91;0;1;0
