CodeINSEE;PopulationDGF2014;PopulationDGF2015;In‚ligibilit‚2016;PopulationDGF2016;CommunesUrbaines;PF2015;PF2016;Eligibilit‚(PF<1005?);In‚ligibilit‚2017;;;;;;;;;
55343;85;84;;83;;491;488;VRAI;;;;;;;;;;
55344;26;22;x;20;;1197;1256;FAUX;x;;;;;;;;;
55345;180;173;;166;;518;541;VRAI;;;;;;;;;;
55346;384;371;;362;;429;435;VRAI;;;;;;;;;;
55347;394;396;;399;;382;389;VRAI;;;;;;;;;;
55348;479;482;;486;;291;319;VRAI;;;;;;;;;;
55349;160;162;;159;;544;564;VRAI;;;;;;;;;;
55350;93;92;;85;;436;484;VRAI;;;;;;;;;;
55351;2473;2426;;2357;;480;494;VRAI;;;;;;;;;;
55352;186;176;;166;;483;505;VRAI;;;;;;;;;;
55353;99;98;;96;;450;459;VRAI;;;;;;;;;;
55355;180;176;;172;;525;843;VRAI;;;;;;;;;;
55356;136;128;;124;;378;413;VRAI;;;;;;;;;;
55357;108;112;;113;;386;390;VRAI;;;;;;;;;;
55359;219;219;;219;;182;187;VRAI;;;;;;;;;;
55360;125;125;;127;;352;356;VRAI;;;;;;;;;;
55361;157;136;;133;;561;552;VRAI;;;;;;;;;;
55362;186;183;;181;;489;490;VRAI;;;;;;;;;;
55363;136;126;;117;;307;320;VRAI;;;;;;;;;;
55364;774;769;;751;;532;566;VRAI;;;;;;;;;;
55365;160;160;;161;;508;512;VRAI;;;;;;;;;;
55367;139;141;;138;;452;476;VRAI;;;;;;;;;;
55368;174;172;;176;;439;446;VRAI;;;;;;;;;;
55369;843;835;;825;;638;675;VRAI;;;;;;;;;;
55370;216;212;;209;;532;678;VRAI;;;;;;;;;;
55371;67;74;;78;;956;904;VRAI;;;;;;;;;;
55372;396;396;;393;;627;667;VRAI;;;;;;;;;;
55375;72;72;;70;;623;645;VRAI;;;;;;;;;;
55373;79;81;;83;;628;629;VRAI;;;;;;;;;;
55374;86;86;;86;;526;509;VRAI;;;;;;;;;;
55376;91;88;;84;;723;758;VRAI;;;;;;;;;;
55377;78;86;;92;;541;536;VRAI;;;;;;;;;;
55378;288;282;;280;;585;606;VRAI;;;;;;;;;;
