Code INSEE;Population DGF 2014;Population DGF 2015;Inéligibilité 2016;Population DGF 2016;Communes Urbaines;PF 2015;PF 2016;Eligibilité (PF<1005?);Inéligibilité 2017;EPCI-FP;Eau Potable;AssainissementCollectif;AssainissementNon Collectif;Milieux Aquatiques;S(km2);ZoneRouge;Décompte
55114;191;199;;214;;429;448;VRAI;;Commercy - Void - Vaucouleurs;;;CC Pays de Commercy;Commercy - Void - Vaucouleurs;18.8;;1
55115;67;65;;60;;525;583;VRAI;;Argonne Meuse;SIE Pays de Mautfaucon;;CC Argonne Meuse;CC Argonne Meuse;9.2;;1
55116;64;65;;66;;502;518;VRAI;;Argonne Meuse;;;SM Germain Guérard;CC Argonne Meuse;7.3;;1
55117;1 626;1 609;;1581;;755;771;VRAI;;Argonne Meuse;;;SM Germain Guérard;SM3A;66.9;;1
55118;90;94;;96;;598;607;VRAI;;CC Stenay - Val Dunois;SIE VAL DUNOIS;CC Val Dunois;CC Val Dunois;CC Stenay - Val Dunois;7.2;;1
55119;210;212;x;200;;1 104;1186;FAUX;x;CC Stenay - Val Dunois;SIE VAL DUNOIS;CC Val Dunois;CC Val Dunois;CC Stenay - Val Dunois;4.6;;1
55120;895;891;;883;;601;628;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;10.3;;1
55121;125;125;;125;;370;347;VRAI;;CC Fresnes en Woevre;;;CC Fresnes en Woevre;CC Fresnes en Woevre;5.1;;1
55122;6 616;6 554;x;6504;OUI;713;803;VRAI;x;Commercy - Void - Vaucouleurs;;;CC Pays de Commercy;Commercy - Void - Vaucouleurs;35.4;;1
55124;330;334;;335;;443;454;VRAI;;Argonne Meuse;;;CC Argonne Meuse;CC Argonne Meuse;15.9;;1
55125;776;775;x;799;;1 016;1016;FAUX;x;COPARY;COPARY;COPARY;COPARY;COPARY;11.8;;1
55127;34;37;;37;;549;558;VRAI;;CC Triaucourt - Aire et Meuse;;CC Aire et Meuse;CC Aire et Meuse;CC Triaucourt - Aire et Meuse;7.3;;1
